label,f1,f2,f3,resin,resin_type,layup,mm,nft,nftm,impact_test,standard,vf1,vf2,vf3,vm,mass,v,e,ts,tm,fs,fm,it
SN,Glass,Empty fruit bunch,,Vinylester,TS,I,RTM,No,,Izod,ASTM D256,,,,,,,11,50.00,0.50,190.00,5.00,10.80
SN,Glass,Empty fruit bunch,,Vinylester,TS,S,RTM,No,,Izod,ASTM D256,,,,,,,11,100.00,0.65,100.00,3.50,10.35
SN,Glass,Empty fruit bunch,,Vinylester,TS,S,RTM,No,,Izod,ASTM D256,,,,,,,11,85.00,0.85,240.00,8.00,9.00
SN,Glass,Empty fruit bunch,,Vinylester,TS,I,RTM,No,,Izod,ASTM D256,,,,,,,11,70.00,0.80,240.00,7.00,8.55
SN,Glass,Empty fruit bunch,,Vinylester,TS,S,RTM,No,,Izod,ASTM D256,,,,,,,11,60.00,0.75,230.00,8.00,7.20
S,Glass,,,Vinylester,TS,,RTM,,,Izod,ASTM D256,,,,,,,11,90.00,0.85,200.00,6.50,9.90
N,Jute,,,Epoxy,TS,,HL,No,,Izod,ASTM D256,,,,,,,,29.52,,28.18,1.25,3.44
SN,Glass,Jute,,Epoxy,TS,S,HL,No,,Izod,ASTM D256,,,,,,,,49.80,,28.74,1.19,3.53
SN,Glass,Jute,,Epoxy,TS,S,HL,No,,Izod,ASTM D256,,,,,,,,56.68,,28.81,1.83,5.49
N,Palmyra,,,Unsaturated polyester,TS,,CM,Yes,Alkali,Izod,ASTM D256,29.1,0.0,0.0,70.9,,,,56.90,2.28,105.00,15.41,1.53
S,Glass,,,Unsaturated polyester,TS,,CM,No,,Izod,ASTM D256,16.3,0.0,0.0,83.8,,,,91.84,4.11,180.00,5.78,3.12
SN,Glass,Palmyra,,Unsaturated polyester,TS,,CM,Yes,Alkali,Izod,ASTM D256,3.6,22.7,0.0,73.7,,,,70.58,3.32,146.00,6.53,2.03
SN,Glass,Palmyra,,Unsaturated polyester,TS,,CM,Yes,Alkali,Izod,ASTM D256,7.5,15.8,0.0,76.8,,,,82.96,3.16,151.00,6.05,2.15
SN,Glass,Palmyra,,Unsaturated polyester,TS,,CM,Yes,Alkali,Izod,ASTM D256,11.7,8.2,0.0,80.1,,,,88.78,4.03,173.00,5.49,2.43
N,Jute,,,Unsaturated polyester,TS,,HL+CM,Yes,Alkali,Charpy,NA,14.3,0.0,0.0,85.8,,,,21.30,3.12,29.82,3.67,0.28
